Key,Description,Russian,English
SAY.Flowchart.48.Аня,,Ах! Какое прекрасное утро. Пора уже просыпаться.,"Ah, What a beautiful morning!. It is time to wake up. "
SAY.Flowchart.69.Мама,,"Аня, завтрак уже готов","Anna, breakfast is ready."
SAY.Flowchart.71.Мама,,Как твое самочувствие?,"How you feeling, Dear?  "
SAY.Flowchart.72.Мама,,Может мне принести тебе его  в постель?,Can I get your breakfast in your bed?
SAY.Flowchart.76.Аня,,"О, дааааа! Было бы здорово, Мамуль.","Oh yeah! That would be great, Mummy. "
SAY.Flowchart.83.,,Через 5 минут...,5 minutes later…
SAY.Flowchart.87.Мама,,"Вот уж соня, опять уснула!","My little deep-sleeper, slept again!"
SAY.Flowchart.98.Мама,,"Ладно, оставлю завтрак рядом с кроватью.","No matter, I will leave her breakfast next to her bed. "
SAY.Flowchart.94.,,Прошло 15 минут...,15 minutes later... 
SAY.Flowchart.104.Мама,,Может быть хватит уже кричать из-за чепухи?,Will you quit shouting over nonsense? 
SAY.Flowchart.112.Отец,,В этом доме никто не хочет следовать простым правилам!,"In this house, no one wants to follow simple rules!"
SAY.Flowchart.108.Мама,,"Хватит, ты разбудишь нашу дочь!","Stop it, You will wake up our daughter!  "
SAY.Flowchart.115.Аня,,Опять родители спорят. ,My parents are arguing again. 
SAY.Flowchart.116.Аня,,Почему взрослые бывают такими нудными и злыми?,Why are adults so boring and mean? 
SAY.Flowchart.118.Аня,,Как я не люблю слушать эти проблемы. \nЭхх...,How I hate to listen to these problems. Ehhh... 
MENU.Flowchart.120,,1. Попробовать уснуть снова,1. Try to fall asleep again 
MENU.Flowchart.123,,2. Пойти ввязаться в разговор,2. Join  the conversation 
SAY.Flowchart.133.Аня,,Как же я переживаю за их отношения...,How I feel about their relationship 
SAY.Flowchart.136.,,Моргает....,Blinking... 
SAY.Flowchart.139.Аня,,Вдруг я как-то виновата в их постоянных ссорах.,What if it is my fault in their constant quarrels.  
SAY.Flowchart.129.,,Моргает....,Blinking... 
SAY.Flowchart.127.Аня,,Кажется вспомнила....,"Well, I think I remember...  "
SAY.Flowchart.142.Аня,,"Мам, пап! Давайте успокоимся и вместе прогуляемся?","Mom, Dad! Lets calm down and go for a walk? "
SAY.Flowchart.146.Отец,,"Не лезь в взрослые разговоры, Анна! \nРазве я тебя не учил этому?","Dont get involved in adult conversation, Anna! Didn't  I teach you that? "
SAY.Flowchart.149.Мама,,Дочка иди назад в комнату. Не стоит вмешиваться.,"Dear, go back to your room. You shouldn't interfere. "
SAY.Flowchart.151.,,Грохот....,Crash…
SAY.Flowchart.153.Аня,,Неужели было именно так?,Was it really like this? 
SAY.Flowchart.159.Аня,,Почему я так плохо всё помню....,Why don't I remember everything well?.... 
SAY.Flowchart.160.Аня,,"Опять я попала в этот непонятный мир, неприятное чувство","Again I got into this strange world, an unpleasant feeling "
SAY.Flowchart.161.Аня,,Надо выбираться отсюда. Здесь есть дверь...,I need to get out of here. There's a door here... 
SAY.Flowchart.162.Аня,,"Не поддается! \nВнизу видны три кнопки: красная, зеленая, синяя","It doesn't open! There are three buttons below: red, green and blue"
SAY.Flowchart.174.Аня,,Черт! За одной дверью оказывается еще две. Над дверьми висят мамин и папин портрет,"Damn! Behind one door, there are two more. Above the doors hang a portrait of my mother and father "
MENU.Flowchart.176,,1. Открыть дверь с маминым портретом,1. Open the door with a portrait of the mother 
MENU.Flowchart.177,,2. Открыть дверь с папиным портретом,2. Open the door with a portrait of the father 
SAY.Flowchart.181.Мама,,Меня это немного мучает,It torments me a little 
SAY.Flowchart.183.Мама,,Другого выхода в любом случае я не видела,I didn't see any other way out  
SAY.Flowchart.182.Мама,,Может мы ей расскажем ?\nОна должна узнать,Maybe we tell her? She must know 
SAY.Flowchart.189.Отец,,И ведь это была твоя идея,It was your idea... 
SAY.Flowchart.192.Мама,,"Да, вероятно, ты хотел как лучше, но стало ли действительно лучше","Yes, you probably meant well, but did it really get better "
SAY.Flowchart.195.Отец,,И тогда она узнает,And then she'll know. 
SAY.Flowchart.196.Отец,,Ведь определенно придет время,"After all, the time will definitely come"
SAY.Flowchart.201.Аня,,Что? Что я должна узнать?,What? What should I know? 
SAY.Flowchart.203.Аня,,Я в своей комнате...\nРазве на столе стояла шкатулка?,I'm in my room… Was there a box on the table earlier?
SAY.Flowchart.202.Аня,,"Красивая, с узорами, и, видимо, интересным механизмом ручной работы","It is amazing with patterns, and, apparently, has an interesting handmade mechanism"
SAY.Flowchart.207.,,В шкатулке лежит потрепанная родительская фотография\nразорванная пополам,There is a battered parent photo torn in half in the box  
MENU.Flowchart.208,,"1. Взять часть фотографии, где запечатлен Отец",1. Take the part of the photo where the Father is depicted
MENU.Flowchart.211,,"2.Взять часть фотографии, где запечатлена Мама",2. Take the part of the photo where the Mother is depicted
MENU.Flowchart.210,,3. Попробовать склеить фотографию ,3. Try to glue the photo together 
SAY.Flowchart.218.Отец,,Вы никогда меня не слушали....,You never listen to me...... 
SAY.Flowchart.221.Отец,,И что теперь? Вы довольны?,What now?Are you pleased? 
SAY.Flowchart.220.Отец,,......,...... 
SAY.Flowchart.219.Отец,,Я любил вас всем сердцем.,I loved you with all my heart 
SAY.Flowchart.224.Аня,,Мне жаль... Папаааа,I am sorry.. Dadddyy 
SAY.Flowchart.226.,,Тишина......,Silence...... 
SAY.Flowchart.230.Мама,,Милая закрой глаза...,"Dear, close your eyes... "
SAY.Flowchart.232.Мама,,Помни мы всегда будем любить тебя...,"Remember, we will always love you...... "
SAY.Flowchart.234.Аня,,"Мама, куда ты?","Mom, where are you going? "
SAY.Flowchart.236.Мама,,"Время истекло, прости....","My time has come and gone, sorry.... "
SAY.Flowchart.238.Аня,,Мама?,Mom? 
SAY.Flowchart.231.Мама,,......,......
SAY.Flowchart.240.Аня,,Надо было слушаться Отца...,I should have listened to my father... 
SAY.Flowchart.242.,,Тишина......,Silence...... 
SAY.Flowchart.246.Доктор,,Анна! Проснись!,Anna!Wake up! 
SAY.Flowchart.245.Доктор,,Как ты себя чувствуешь? Как спалось?,How are you feeling? Sleep well? 
SAY.Flowchart.247.Доктор,,Расскажи мне... Не бойся.,Tell me... Dont be afraid. 
SAY.Flowchart.248.Доктор,,Удалось вспомнить что-то новое?, Did you manage to remember anything new?
SAY.Flowchart.251.Аня,,Простите .....,Excuse me  ..... 
SAY.Flowchart.252.Аня,,Но мне надо срочно к родителям....,I need to see my parents immediately 
SAY.Flowchart.254.,,Тишина......,Silence...... 
CHARACTER.Доктор,Лечишь врачь из больницы,Доктор,Doctor
CHARACTER.Аня,Дочь у которой психическое расстройство!,Аня,Anna
CHARACTER.Отец,Батя ну батя ну и все,Отец,Dad
CHARACTER.Мама,"Ну мать это мать, стоит понимать",Мама,Mom
