Key,Description,Standard
SAY.Flowchart.48.Аня,,Ах! Какое прекрасное утро. Пора уже просыпаться.
SAY.Flowchart.69.Мама,,"Аня, завтрак уже готов"
SAY.Flowchart.71.Мама,,Как твое самочувствие?
SAY.Flowchart.72.Мама,,Может мне принести тебе его  в постель?
SAY.Flowchart.76.Аня,,"О, дааааа! Было бы здорово, Мамуль."
SAY.Flowchart.83.,,Через 5 минут...
SAY.Flowchart.87.Мама,,"Вот уж соня, опять уснула!"
SAY.Flowchart.98.Мама,,"Ладно, оставлю завтрак рядом с кроватью."
SAY.Flowchart.94.,,Прошло 15 минут...
SAY.Flowchart.104.Мама,,Может быть хватит уже кричать из-за чепухи?
SAY.Flowchart.112.Отец,,В этом доме никто не хочет следовать простым правилам!
SAY.Flowchart.108.Мама,,"Хватит, ты разбудишь нашу дочь!"
SAY.Flowchart.115.Аня,,Опять родители спорят. 
SAY.Flowchart.116.Аня,,Почему взрослые бывают такими нудными и злыми?
SAY.Flowchart.118.Аня,,Как я не люблю слушать эти проблемы. \nЭхх...
MENU.Flowchart.120,,1. Попробовать уснуть снова
MENU.Flowchart.123,,2. Пойти ввязаться в разговор
SAY.Flowchart.133.Аня,,Как же я переживаю за их отношения...
SAY.Flowchart.136.,,Моргает....
SAY.Flowchart.139.Аня,,Вдруг я как-то виновата в их постоянных ссорах.
SAY.Flowchart.129.,,Моргает....
SAY.Flowchart.127.Аня,,Кажется вспомнила....
SAY.Flowchart.142.Аня,,"Мам, пап! Давайте успокоимся и вместе прогуляемся?"
SAY.Flowchart.146.Отец,,"Не лезь в взрослые разговоры, Анна! \nРазве я тебя не учил этому?"
SAY.Flowchart.149.Мама,,Дочка иди назад в комнату. Не стоит вмешиваться.
SAY.Flowchart.151.,,Грохот....
SAY.Flowchart.153.Аня,,Неужели было именно так?
SAY.Flowchart.159.Аня,,Почему я так плохо всё помню....
SAY.Flowchart.160.Аня,,"Опять я попала в этот непонятный мир, неприятное чувство"
SAY.Flowchart.161.Аня,,Надо выбираться отсюда. Здесь есть дверь...
SAY.Flowchart.162.Аня,,"Не поддается! \nВнизу видны три кнопки: красная, зеленая, синяя"
SAY.Flowchart.174.Аня,,Черт! За одной дверью оказывается еще две. Над дверьми висят мамин и папин портрет
MENU.Flowchart.176,,1. Открыть дверь с маминым портретом
MENU.Flowchart.177,,2. Открыть дверь с папиным портретом
SAY.Flowchart.181.Мама,,Меня это немного мучает
SAY.Flowchart.183.Мама,,Другого выхода в любом случае я не видела
SAY.Flowchart.182.Мама,,Может мы ей расскажем ?\nОна должна узнать
SAY.Flowchart.189.Отец,,И ведь это была твоя идея
SAY.Flowchart.192.Мама,,"Да, вероятно, ты хотел как лучше, но стало ли действительно лучше"
SAY.Flowchart.195.Отец,,И тогда она узнает
SAY.Flowchart.196.Отец,,Ведь определенно придет время
SAY.Flowchart.201.Аня,,Что? Что я должна узнать?
SAY.Flowchart.203.Аня,,Я в своей комнате...\nРазве на столе стояла шкатулка?
SAY.Flowchart.202.Аня,,"Красивая, с узорами, и, видимо, интересным механизмом ручной работы"
SAY.Flowchart.207.,,В шкатулке лежит потрепанная родительская фотография\nразорванная пополам
MENU.Flowchart.208,,"1. Взять часть фотографии, где запечатлен Отец"
MENU.Flowchart.211,,"2.Взять часть фотографии, где запечатлена Мама"
MENU.Flowchart.210,,3. Попробовать склеить фотографию 
SAY.Flowchart.218.Отец,,Вы никогда меня не слушали....
SAY.Flowchart.221.Отец,,И что теперь? Вы довольны?
SAY.Flowchart.220.Отец,,......
SAY.Flowchart.219.Отец,,Я любил вас всем сердцем.
SAY.Flowchart.224.Аня,,Мне жаль... Папаааа
SAY.Flowchart.226.,,Тишина......
SAY.Flowchart.230.Мама,,Милая закрой глаза...
SAY.Flowchart.232.Мама,,Помни мы всегда будем любить тебя...
SAY.Flowchart.234.Аня,,"Мама, куда ты?"
SAY.Flowchart.236.Мама,,"Время истекло, прости...."
SAY.Flowchart.238.Аня,,Мама?
SAY.Flowchart.231.Мама,,......
SAY.Flowchart.240.Аня,,Надо было слушаться Отца...
SAY.Flowchart.242.,,Тишина......
SAY.Flowchart.246.Доктор,,Анна! Проснись!
SAY.Flowchart.245.Доктор,,Как ты себя чувствуешь? Как спалось?
SAY.Flowchart.247.Доктор,,Расскажи мне... Не бойся.
SAY.Flowchart.248.Доктор,,Удалось вспомнить что-то новое?
SAY.Flowchart.251.Аня,,Простите .....
SAY.Flowchart.252.Аня,,Но мне надо срочно к родителям....
SAY.Flowchart.254.,,Тишина......
CHARACTER.Доктор,Лечишь врачь из больницы,Доктор
CHARACTER.Аня,Дочь у которой психическое расстройство!,Аня
CHARACTER.Отец,Батя ну батя ну и все,Отец
CHARACTER.Мама,"Ну мать это мать, стоит понимать",Мама
